refund_id,order_id,session_id,customer_id,scene_type,reason_type,requested_amount_cny,requested_at,evidence_status,policy_route,required_doc_refs,status,approval_level_required,suggested_action,decision_summary
RFD-0001,ORD-2026-0004,SES-MOCK-0004,CUS-0004,damage,door_dent,3901.5,2026-03-11T15:00:00,evidence_pending,quality_only,DOC-IMP-JURA-Bean-US-WARRANTY,open,L2,转人工,供 mock 工具与接管台演示的退款申请数据
RFD-0002,ORD-2026-0009,SES-MOCK-0009,CUS-0009,return_policy,seven_day_no_reason_request,3645.0,2026-03-15T09:00:00,policy_rejected,price_policy_review,DOC-IMP-SMEG-Toast-UK-WARRANTY,closed,AI/L1,拒答,供 mock 工具与接管台演示的退款申请数据
RFD-0003,ORD-2026-0014,SES-MOCK-0014,CUS-0014,price_dispute,campaign_price_gap,1111.2,2026-03-19T03:00:00,manager_review,price_policy_review,DOC-PRC-CAT03,open,L2,转人工,供 mock 工具与接管台演示的退款申请数据
RFD-0004,ORD-2026-0019,SES-MOCK-0019,CUS-0019,warranty_import,serial_not_found,3969.0,2026-03-22T21:00:00,info_verified,quality_only,DOC-IMP-LIEB-BFR-EU-WARRANTY,closed,AI/L1,给结论,供 mock 工具与接管台演示的退款申请数据
RFD-0005,ORD-2026-0028,SES-MOCK-0028,CUS-0028,damage,glass_panel_crack,9157.5,2026-03-29T15:00:00,evidence_complete,quality_only,DOC-IMP-ELEC-WFL-US-WARRANTY,open,L2,转人工,供 mock 工具与接管台演示的退款申请数据
RFD-0006,ORD-2026-0036,SES-MOCK-0036,CUS-0036,shipping,delayed_delivery,4090.5,2026-04-04T15:00:00,pending_logistics_check,price_policy_review,DOC-IMP-IROB-WFW-UK-WARRANTY,open,AI/L1,追问,供 mock 工具与接管台演示的退款申请数据
RFD-0007,ORD-2026-0045,SES-MOCK-0045,CUS-0003,return_policy,appearance_not_like,4563.0,2026-04-11T09:00:00,policy_rejected,price_policy_review,DOC-IMP-PANA-GRL-EU-WARRANTY,closed,AI/L1,拒答,供 mock 工具与接管台演示的退款申请数据
RFD-0008,ORD-2026-0058,SES-MOCK-0058,CUS-0016,damage,missing_accessory,4738.5,2026-04-21T03:00:00,evidence_complete,quality_only,DOC-IMP-KENW-KTL-UK-WARRANTY,open,L2,转人工,供 mock 工具与接管台演示的退款申请数据
RFD-0009,ORD-2026-0073,SES-MOCK-0073,CUS-0031,price_dispute,coupon_not_applied,1068.0,2026-05-02T09:00:00,approved_small_credit,price_policy_review,DOC-PRC-CAT03,closed,AI/L1,给结论,供 mock 工具与接管台演示的退款申请数据
RFD-0010,ORD-2026-0090,SES-MOCK-0090,CUS-0006,warranty_import,cross_region_repair,9481.5,2026-05-15T03:00:00,manual_review,quality_only,DOC-IMP-ELEC-WDC-UK-WARRANTY,open,L2,转人工,供 mock 工具与接管台演示的退款申请数据
