order_id,session_id,customer_id,customer_tier,channel,sku_id,brand_id,brand_name,category_id,category_name,product_model,version_country,china_usability,warranty_type,return_policy_type,import_channel,quantity,unit_price_cny,shipping_fee_cny,total_amount_cny,order_status,payment_status,shipment_status,created_at,paid_at,promised_eta_start,promised_eta_end,destination_region,destination_city,destination_district,compat_doc_id,warranty_doc_id,price_policy_doc_id,mock_note
ORD-2026-0001,SES-MOCK-0001,CUS-0001,new,wechat,SKU-DELO-Bean-US,BR01,De'Longhi,CAT01,全自动/半自动咖啡机,DELO-Bean-US-2027,US,need_transformer_and_adapter,importer_with_brand_support,quality_only,official_distributor,1,4080,0,4080,closed,paid,delivered,2026-03-01T09:00:00,2026-03-01T09:35:00,2026-03-18,2026-03-27,华东,上海,黄浦区,DOC-SKU-DELO-Bean-US-COMPAT,DOC-IMP-DELO-Bean-US-WARRANTY,DOC-PRC-CAT01,用于作品集演示的订单主数据
ORD-2026-0002,SES-MOCK-0002,CUS-0002,standard,web,SKU-DELO-Steam-EU,BR01,De'Longhi,CAT01,全自动/半自动咖啡机,DELO-Steam-EU-2028,EU,need_adapter,importer_with_brand_support,quality_only,official_distributor,1,4440,0,4440,closed,paid,delivered,2026-03-02T03:00:00,2026-03-02T03:35:00,2026-03-19,2026-03-28,华东,杭州,西湖区,DOC-SKU-DELO-Steam-EU-COMPAT,DOC-IMP-DELO-Steam-EU-WARRANTY,DOC-PRC-CAT01,用于作品集演示的订单主数据
ORD-2026-0003,SES-MOCK-0003,CUS-0003,vip,web,SKU-DELO-Caps-UK,BR01,De'Longhi,CAT01,全自动/半自动咖啡机,DELO-Caps-UK-2029,UK,need_adapter,importer_with_brand_support,quality_only,official_distributor,1,4440,0,4440,closed,paid,delivered,2026-03-02T21:00:00,2026-03-02T21:35:00,2026-03-19,2026-03-28,华东,苏州,工业园区,DOC-SKU-DELO-Caps-UK-COMPAT,DOC-IMP-DELO-Caps-UK-WARRANTY,DOC-PRC-CAT01,用于作品集演示的订单主数据
ORD-2026-0004,SES-MOCK-0004,CUS-0004,vip,web,SKU-JURA-Bean-US,BR02,Jura,CAT01,全自动/半自动咖啡机,JURA-Bean-US-2027,US,need_transformer_and_adapter,importer_only,quality_only,official_distributor,1,4335,0,4335,processing,paid,in_transit,2026-03-03T15:00:00,2026-03-03T15:35:00,2026-03-20,2026-03-29,华北,北京,朝阳区,DOC-SKU-JURA-Bean-US-COMPAT,DOC-IMP-JURA-Bean-US-WARRANTY,DOC-PRC-CAT01,用于作品集演示的订单主数据
ORD-2026-0005,SES-MOCK-0005,CUS-0005,new,web,SKU-JURA-Steam-EU,BR02,Jura,CAT01,全自动/半自动咖啡机,JURA-Steam-EU-2028,EU,need_adapter,importer_only,quality_only,official_distributor,1,4695,0,4695,processing,paid,in_transit,2026-03-04T09:00:00,2026-03-04T09:35:00,2026-03-21,2026-03-30,华北,天津,河西区,DOC-SKU-JURA-Steam-EU-COMPAT,DOC-IMP-JURA-Steam-EU-WARRANTY,DOC-PRC-CAT01,用于作品集演示的订单主数据
ORD-2026-0006,SES-MOCK-0006,CUS-0006,standard,web,SKU-JURA-Caps-UK,BR02,Jura,CAT01,全自动/半自动咖啡机,JURA-Caps-UK-2029,UK,need_adapter,importer_only,quality_only,official_distributor,1,4395,0,4395,processing,paid,customs_clearance,2026-03-05T03:00:00,2026-03-05T03:35:00,2026-03-22,2026-03-31,华南,深圳,南山区,DOC-SKU-JURA-Caps-UK-COMPAT,DOC-IMP-JURA-Caps-UK-WARRANTY,DOC-PRC-CAT01,用于作品集演示的订单主数据
ORD-2026-0007,SES-MOCK-0007,CUS-0007,vip,web,SKU-SMEG-Air-US,BR03,Smeg,CAT02,台式烤箱/空气炸烤箱,SMEG-Air-US-2027,US,not_recommended,importer_with_brand_support,quality_only,official_distributor,1,3690,0,3690,processing,paid,out_for_delivery,2026-03-05T21:00:00,2026-03-05T21:35:00,2026-03-22,2026-03-31,华南,广州,天河区,DOC-SKU-SMEG-Air-US-COMPAT,DOC-IMP-SMEG-Air-US-WARRANTY,DOC-PRC-CAT02,用于作品集演示的订单主数据
ORD-2026-0008,SES-MOCK-0008,CUS-0008,vip,web,SKU-SMEG-Steam-EU,BR03,Smeg,CAT02,台式烤箱/空气炸烤箱,SMEG-Steam-EU-2028,EU,need_adapter,importer_with_brand_support,quality_only,official_distributor,1,4050,0,4050,processing,paid,label_created,2026-03-06T15:00:00,2026-03-06T15:35:00,2026-03-23,2026-04-01,华南,厦门,思明区,DOC-SKU-SMEG-Steam-EU-COMPAT,DOC-IMP-SMEG-Steam-EU-WARRANTY,DOC-PRC-CAT02,用于作品集演示的订单主数据
ORD-2026-0009,SES-MOCK-0009,CUS-0009,new,wechat,SKU-SMEG-Toast-UK,BR03,Smeg,CAT02,台式烤箱/空气炸烤箱,SMEG-Toast-UK-2029,UK,need_adapter,importer_with_brand_support,quality_only,official_distributor,1,4050,0,4050,processing,paid,exception,2026-03-07T09:00:00,2026-03-07T09:35:00,2026-03-24,2026-04-02,西南,成都,高新区,DOC-SKU-SMEG-Toast-UK-COMPAT,DOC-IMP-SMEG-Toast-UK-WARRANTY,DOC-PRC-CAT02,用于作品集演示的订单主数据
ORD-2026-0010,SES-MOCK-0010,CUS-0010,standard,web,SKU-BREV-Air-US,BR04,Breville,CAT02,台式烤箱/空气炸烤箱,BREV-Air-US-2027,US,not_recommended,importer_only,quality_only,parallel_import,1,3945,0,3945,closed,refunded,cancelled,2026-03-08T03:00:00,2026-03-08T03:35:00,2026-03-25,2026-04-03,西南,重庆,渝北区,DOC-SKU-BREV-Air-US-COMPAT,DOC-IMP-BREV-Air-US-WARRANTY,DOC-PRC-CAT02,用于作品集演示的订单主数据
